,Split Ratio  ,Noise ,Error Count ,Time Count,Weight Count,Bias Count
0,0.8,20,0.22448979591836735,0.0005550000000198452,[[ 0.89654934 -1.64137336]],0.17240839341591463
0,0.8,20,0.19387755102040816,0.0005239999999844258,[[ 1.1430021  -1.33350599]],-2.162128140452722
0,0.8,25,0.25510204081632654,0.0006250000000136424,[[ 1.17634924 -1.17658753]],-2.646084596331693
0,0.8,25,0.25510204081632654,0.0005530000000248947,[[ 0.94846119 -1.53402353]],-0.5489072594337523
0,0.8,25,0.25510204081632654,0.0005260000000362197,[[ 0.83397886 -1.66601011]],0.6610853415610697
0,0.8,25,0.24489795918367346,0.0005319999999642278,[[ 1.4286376  -0.95227782]],-5.000705644027655
0,0.8,25,0.25510204081632654,0.000532999999961703,[[ 1.37263076 -0.98036525]],-4.431921077235177
0,0.8,25,0.24489795918367346,0.0009160000000179025,[[ 1.25056233 -1.42921556]],-2.394080348874836
0,0.8,25,0.2653061224489796,0.0005350000000134969,[[ 1.07173844 -1.42784612]],-1.5037942365648727
0,0.8,25,0.2653061224489796,0.0005470000000400432,[[ 1.02620967 -1.28197434]],-1.5670987666071756
0,0.8,25,0.24489795918367346,0.0005400000000008731,[[ 1.25000358 -1.24991639]],-2.8752786432010136
0,0.8,25,0.2857142857142857,0.0005679999999870233,[[ 0.96125025 -1.34575764]],-1.1920291308332303
0,0.8,25,0.23469387755102042,0.0005950000000325417,[[ 1.10419009 -1.22705564]],-2.0667849251299018
0,0.8,25,0.2755102040816326,0.0005370000000084474,[[ 0.77678894 -1.74705654]],1.2113925623593154
0,0.8,25,0.2653061224489796,0.0005499999999756255,[[ 0.88305117 -1.47077675]],-0.032662410945756115
0,0.8,25,0.25510204081632654,0.0005699999999819738,[[ 1.24999259 -1.24999938]],-2.8749711672449436
0,0.8,25,0.29591836734693877,0.0005679999999870233,[[ 0.91619094 -1.06816087]],-1.9338544452271318
0,0.8,25,0.29591836734693877,0.0005320000000210712,[[ 1.13169794 -0.63094336]],-4.626445037835707
0,0.8,25,0.2857142857142857,0.000551999999970576,[[ 0.93027529 -1.39632396]],-0.9044767892318716
0,0.8,25,0.25510204081632654,0.0005840000000034706,[[ 1.03888629 -1.42856519]],-1.3372759845725959
0,0.8,25,0.2653061224489796,0.0005049999999755528,[[ 0.9        -1.42857209]],-0.5057220434630576
0,0.8,25,0.24489795918367346,0.0006230000000186919,[[ 1.18302117 -1.09057409]],-2.998289297118782
0,0.8,30,0.29591836734693877,0.0005469999999831998,[[ 1.06486629 -1.21081543]],-2.0281092804071283
0,0.8,30,0.2857142857142857,0.0005780000000186192,[[ 0.95153087 -1.42879215]],-0.8999662862541483
0,0.8,30,0.2857142857142857,0.0006999999999948159,[[ 0.64483843 -1.72067202]],1.8842588956133286
0,0.8,30,0.2653061224489796,0.0005529999999680513,[[ 1.33324817 -1.0000966 ]],-4.299210050501483
0,0.8,30,0.2857142857142857,0.0005659999999920728,[[ 1.14310796 -0.95117001]],-3.30997036630817
0,0.8,30,0.2857142857142857,0.0005639999999971224,[[ 1.21250045 -1.41458219]],-2.2331811760062243
0,0.8,30,0.2857142857142857,0.0005959999999731735,[[ 0.97535305 -1.46350733]],-0.8519214758856443
0,0.8,30,0.30612244897959184,0.0006429999999681968,[[ 0.98993666 -1.1882347 ]],-1.7116003971394889
0,0.8,30,0.2857142857142857,0.0005809999999542015,[[ 1.23492832 -0.98649456]],-3.5733273684362588
0,0.8,30,0.32653061224489793,0.0005639999999971224,[[ 0.90908576 -0.90910307]],-2.3635753647617475
0,0.8,30,0.2755102040816326,0.0005510000000299442,[[ 1.11124832 -1.11101248]],-2.445476753440355
0,0.8,30,0.3163265306122449,0.0005769999999643005,[[ 0.62526963 -1.71729684]],1.9622857733071744
0,0.8,30,0.3163265306122449,0.0005459999999857246,[[ 0.62439141 -1.45854724]],1.3582085090682052
0,0.8,30,0.29591836734693877,0.0005530000000248947,[[ 1.17671112 -1.17631137]],-2.7665660532266445
0,0.8,30,0.3469387755102041,0.0005679999999870233,[[ 0.90883259 -0.90883318]],-2.3631454316011014
0,0.8,30,0.30612244897959184,0.0005520000000274194,[[ 1.21592474 -0.13509867]],-6.633638414780506
0,0.8,30,0.32653061224489793,0.000551999999970576,[[ 0.88528889 -1.41519652]],-0.5441187535585207
0,0.8,30,0.29591836734693877,0.0005649999999945976,[[ 1.02457351 -1.40982624]],-1.3034950654103727
0,0.8,30,0.30612244897959184,0.0005689999999844986,[[ 0.77901168 -1.29887113]],-0.16722162909661878
0,0.8,30,0.29591836734693877,0.0005649999999945976,[[ 1.11064311 -1.11122973]],-2.4414811739580506
0,0.7,5,0.061224489795918366,0.0005219999999894753,[[ 1.55580742 -1.99925772]],-2.2703665305001755
0,0.7,5,0.05102040816326531,0.0004680000000121254,[[ 1.41475475 -2.22317059]],-0.6163369947978868
0,0.7,5,0.04081632653061224,0.00043799999997418126,[[ 2.22222421 -2.22221981]],-5.000015811294037
0,0.7,5,0.061224489795918366,0.0004390000000284999,[[ 1.82116901 -2.18320926]],-3.0844622670768143
0,0.7,5,0.061224489795918366,0.0005029999999806023,[[ 1.42826111 -2.14312514]],-1.211920506432045
0,0.7,5,0.05102040816326531,0.0004950000000008004,[[ 1.93770966 -1.61474841]],-5.48906013424746
0,0.7,5,0.05102040816326531,0.0004270000000019536,[[ 1.81730899 -1.81812042]],-4.268166678202213
0,0.7,5,0.05102040816326531,0.0004749999999944521,[[ 1.81884569 -1.81885222]],-4.27408599564696
0,0.7,5,0.05102040816326531,0.0004270000000019536,[[ 1.77260144 -1.93972554]],-3.6725957124824022
0,0.7,5,0.05102040816326531,0.00048800000001847366,[[ 2.22240173 -2.22085519]],-5.005200353850386
0,0.7,5,0.04081632653061224,0.0004729999999995016,[[ 1.33303339 -2.6660722 ]],1.1331667676617034
0,0.7,5,0.05102040816326531,0.0007740000000353575,[[ 1.77769995 -2.00038241]],-3.5316895117993012
0,0.7,5,0.05102040816326531,0.0004950000000008004,[[ 2.15343123 -1.84656709]],-5.796406621838326
0,0.7,5,0.05102040816326531,0.0004989999999907013,[[ 1.66215436 -1.6729674 ]],-3.789978860161524
0,0.7,5,0.061224489795918366,0.0005160000000046239,[[ 1.48922237 -2.39384136]],-0.7858163878738216
0,0.7,5,0.05102040816326531,0.0004889999999591055,[[ 1.70491535 -1.95409612]],-3.2465497757026283
0,0.7,5,0.061224489795918366,0.0005110000000172477,[[ 1.34364565 -1.94082786]],-1.2838181554092662
0,0.7,5,0.05102040816326531,0.0005109999999604042,[[ 1.95961864 -1.56901297]],-5.6986922992531746
0,0.7,5,0.05102040816326531,0.0004899999999565807,[[ 1.66666067 -1.9       ]],-3.2299646432986577
0,0.7,5,0.04081632653061224,0.00047699999998940257,[[ 2.18685032 -1.24962597]],-7.966539356221567
0,0.7,10,0.11224489795918367,0.0005470000000400432,[[ 1.09084177 -1.81822326]],-0.2722593975188963
0,0.7,10,0.10204081632653061,0.0004870000000209984,[[ 1.22820065 -1.92950844]],-0.6683710394750714
0,0.7,10,0.09183673469387756,0.0006569999999896936,[[ 1.7 -1.6]],-4.08999252319335
0,0.7,10,0.11224489795918367,0.0004849999999692045,[[ 1.32353883 -2.05875928]],-0.8825971545218011
0,0.7,10,0.11224489795918367,0.0004900000000134241,[[ 1.28925242 -1.93626367]],-1.0562813793036365
0,0.7,10,0.10204081632653061,0.0005009999999856518,[[ 1.95074929 -1.46373777]],-6.020902027511172
0,0.7,10,0.11224489795918367,0.0005019999999831271,[[ 1.50553753 -1.71954923]],-3.046725534629064
0,0.7,10,0.10204081632653061,0.000482999999974254,[[ 1.66667567 -1.66666444]],-3.8333852811535394
0,0.7,10,0.09183673469387756,0.000482999999974254,[[ 1.66733982 -1.66464656]],-3.843097266367039
0,0.7,10,0.11224489795918367,0.00046700000001465014,[[ 1.73919173 -1.30428912]],-5.435275369740563
0,0.7,10,0.09183673469387756,0.00047699999998940257,[[ 1.37365745 -2.13677871]],-0.6028523685865376
0,0.7,10,0.11224489795918367,0.0004840000000285727,[[ 1.51478358 -1.81858331]],-2.7847001834274345
0,0.7,10,0.11224489795918367,0.00047000000000707587,[[ 1.48934416 -1.68278576]],-2.816149707167805
0,0.7,10,0.10204081632653061,0.00047800000004372123,[[ 1.73394684 -1.47982281]],-4.837147969973457
0,0.7,10,0.1326530612244898,0.0005229999999869506,[[ 1.17592584 -2.0578815 ]],-0.2647063907977408
0,0.7,10,0.11224489795918367,0.0004779999999868778,[[ 1.25030325 -1.99952814]],-0.7030238806693317
0,0.7,10,0.11224489795918367,0.0005150000000071486,[[ 1.21230946 -1.82153836]],-0.9298610334894684
0,0.7,10,0.10204081632653061,0.0005279999999743268,[[ 1.81665977 -1.51665977]],-5.108327373305767
0,0.7,10,0.11224489795918367,0.0005550000000198452,[[ 1.31999861 -1.76000104]],-1.6159892035691374
0,0.7,10,0.10204081632653061,0.0010070000000155233,[[ 1.9558679  -1.17355351]],-7.023954667339754
0,0.7,15,0.16326530612244897,0.0005489999999781503,[[ 0.83315691 -1.66692046]],0.6683598969658705
0,0.7,15,0.15306122448979592,0.0005110000000172477,[[ 1.19998382 -1.59958116]],-1.5613487348690143
0,0.7,15,0.14285714285714285,0.0005179999999995744,[[ 1.5380313  -1.53804935]],-3.460509070783489
0,0.7,15,0.16326530612244897,0.0007739999999785141,[[ 1.07640656 -2.00224767]],0.07032292175855845
0,0.7,15,0.16326530612244897,0.0005090000000222972,[[ 1.19062105 -1.66565074]],-1.4085438204451612
0,0.7,15,0.15306122448979592,0.0005010000000424952,[[ 1.81818436 -1.4       ]],-5.527289764136231
0,0.7,15,0.1836734693877551,0.0005310000000235959,[[ 1.08000035 -1.84000017]],-0.43600611782958903
0,0.7,15,0.15306122448979592,0.0005400000000008731,[[ 1.33356892 -1.33298667]],-3.002266420830467
0,0.7,15,0.14285714285714285,0.0005030000000374457,[[ 1.77789586 -1.33297545]],-5.401735150688398
0,0.7,15,0.1836734693877551,0.0007509999999797401,[[ 1.51450984 -1.21254595]],-4.63169661276066
0,0.7,15,0.1326530612244898,0.0005580000000122709,[[ 1.09498432 -1.9185795 ]],0.048573246381890894
0,0.7,15,0.16326530612244897,0.0005989999999655993,[[ 1.19251883 -1.72252209]],-1.2520270888021638
0,0.7,15,0.16326530612244897,0.0005209999999920001,[[ 1.42887332 -1.42889243]],-3.1434637754129313
0,0.7,15,0.15306122448979592,0.0005199999999945248,[[ 1.33423752 -1.33253738]],-3.1406277202721262
0,0.7,15,0.1836734693877551,0.00050000000004502,[[ 1.11154072 -1.77692514]],-0.7382108260626367
0,0.7,15,0.1836734693877551,0.0005120000000147229,[[ 0.90912648 -1.81817129]],0.4543347203731867
0,0.7,15,0.17346938775510204,0.0005109999999604042,[[ 1.02591723 -1.66665245]],-0.5143216932992766
0,0.7,15,0.15306122448979592,0.0005179999999995744,[[ 1.55281042 -1.35955291]],-4.296634296299186
0,0.7,15,0.16326530612244897,0.0008389999999849351,[[ 1.25060823 -1.50072176]],-2.126227335308174
0,0.7,15,0.16326530612244897,0.0006500000000073669,[[ 1.55569824 -1.11076759]],-5.1352118203771475
0,0.7,20,0.21428571428571427,0.0005639999999971224,[[ 0.75816177 -1.66666356]],1.0423017898372215
0,0.7,20,0.20408163265306123,0.0005229999999869506,[[ 1.19413782 -1.49209826]],-1.9272764506662738
0,0.7,20,0.19387755102040816,0.0005219999999894753,[[ 1.25791937 -1.38454951]],-2.519937749045818
0,0.7,20,0.21428571428571427,0.0005360000000109721,[[ 0.95353297 -1.90220648]],0.5099406056256639
0,0.7,20,0.19387755102040816,0.0005830000000059954,[[ 1.22167634 -1.37438529]],-2.3898241234996216
0,0.7,20,0.20408163265306123,0.0005370000000084474,[[ 1.26592015 -1.52061891]],-2.160504073622049
0,0.7,20,0.23469387755102042,0.0006599999999821193,[[ 0.96791833 -1.61322622]],-0.3871717447222617
0,0.7,20,0.20408163265306123,0.0005409999999983484,[[ 1.24600715 -1.27800102]],-2.769833420153838
0,0.7,20,0.19387755102040816,0.0007170000000087384,[[ 1.18732751 -1.38640657]],-2.2031168775687555
0,0.7,20,0.21428571428571427,0.0005300000000261207,[[ 1.09102584 -1.27288239]],-2.072928551314035
0,0.7,20,0.1836734693877551,0.0005249999999819011,[[ 1.15888105 -1.44964047]],-1.8366916896265846
0,0.7,20,0.22448979591836735,0.0005279999999743268,[[ 0.98735943 -1.72788975]],-0.06177900964461145
0,0.7,20,0.21428571428571427,0.000527000000033695,[[ 1.43068871 -1.32848909]],-3.30956634229355
0,0.7,20,0.21428571428571427,0.0005590000000097461,[[ 1.07555639 -1.50579157]],-1.215247259358132
0,0.7,20,0.23469387755102042,0.0005390000000033979,[[ 1.28371708 -1.10393471]],-3.7396438052475602
0,0.7,20,0.25510204081632654,0.0005689999999844986,[[ 0.93046474 -1.39401808]],-1.0518414741645155
0,0.7,20,0.22448979591836735,0.0005380000000059226,[[ 0.9679245  -1.61320778]],-0.387070615557946
0,0.7,20,0.22448979591836735,0.000634000000047763,[[ 1.47344906 -1.26401889]],-4.196235400971056
0,0.7,20,0.21428571428571427,0.0005340000000160217,[[ 1.14124741 -1.46187112]],-1.7040289298990863
0,0.7,20,0.25510204081632654,0.0005669999999895481,[[ 1.17191785 -0.65859166]],-4.759198339022789
0,0.7,25,0.2653061224489796,0.0005780000000186192,[[ 0.70310907 -1.56273754]],1.0789139369409517
0,0.7,25,0.24489795918367346,0.0005929999999807478,[[ 1.09584704 -1.36989385]],-1.8489895088664798
0,0.7,25,0.24489795918367346,0.00068999999996322,[[ 1.15061428 -1.29517453]],-2.30630903235545
0,0.7,25,0.29591836734693877,0.0006470000000149412,[[ 1.00020937 -0.99812234]],-2.707104293740391
0,0.7,25,0.24489795918367346,0.0006510000000048421,[[ 1.25041425 -1.24814477]],-2.882413589504441
0,0.7,25,0.24489795918367346,0.0006659999999669708,[[ 1.25043031 -1.45767328]],-2.2750978302429155
0,0.7,25,0.2755102040816326,0.0005899999999883221,[[ 0.95243117 -1.5872646 ]],-0.3654654485521218
0,0.7,25,0.2653061224489796,0.0006200000000262662,[[ 0.99980335 -1.33311403]],-1.3329507765819337
0,0.7,25,0.23469387755102042,0.0005759999999668253,[[ 1.02629521 -1.53761989]],-0.9545818345162776
0,0.7,25,0.2755102040816326,0.000555999999960477,[[ 0.88213436 -1.17661955]],-1.409923172177667
0,0.7,25,0.23469387755102042,0.0005889999999908468,[[ 1.05215573 -1.40388882]],-1.347071558382468
0,0.7,25,0.2755102040816326,0.0005680000000438667,[[ 0.80028933 -1.60053807]],0.6001636533420076
0,0.7,25,0.2755102040816326,0.0005949999999756983,[[ 0.93178999 -1.39545808]],-0.4496116087055957
0,0.7,25,0.25510204081632654,0.0005959999999731735,[[ 1.03722478 -1.18498946]],-1.979368275685773
0,0.7,25,0.2653061224489796,0.0005790000000160944,[[ 1.07071296 -0.71515901]],-3.992999655210007
0,0.7,25,0.3163265306122449,0.0005710000000362925,[[ 0.63999237 -1.28000381]],0.02404785147352867
0,0.7,25,0.2857142857142857,0.0005669999999895481,[[ 0.86956103 -1.45001415]],-0.44711097180185416
0,0.7,25,0.2857142857142857,0.000555999999960477,[[ 1.34877445 -0.78610595]],-5.11634296288941
0,0.7,25,0.2653061224489796,0.0005739999999718748,[[ 1.09925285 -1.31803884]],-1.882730018942975
0,0.7,25,0.29591836734693877,0.0005710000000362925,[[ 1.27074339 -0.46943245]],-5.771401290212252
0,0.7,30,0.30612244897959184,0.0009269999999901302,[[ 0.70310907 -1.56273754]],1.0789139369409517
0,0.7,30,0.2755102040816326,0.0005889999999908468,[[ 1.09100691 -1.27258298]],-2.1100229484099593
0,0.7,30,0.2755102040816326,0.0005569999999579522,[[ 0.98135717 -1.34936782]],-1.2082169809618721
0,0.7,30,0.2857142857142857,0.0007140000000163127,[[ 0.9512332  -0.95729012]],-2.5015894033144463
0,0.7,30,0.2857142857142857,0.0005810000000110449,[[ 1.20318516 -1.05178038]],-3.2441146478443046
0,0.7,30,0.2857142857142857,0.0005659999999920728,[[ 1.18871283 -1.38681995]],-2.169600444886575
0,0.7,30,0.29591836734693877,0.0005419999999958236,[[ 0.70530378 -1.74882968]],1.5943732619919753
0,0.7,30,0.30612244897959184,0.0006050000000072941,[[ 0.9899229  -1.18823113]],-1.7115413399027684
0,0.7,30,0.2755102040816326,0.0009289999999850806,[[ 1.07820582 -1.27564116]],-2.0052607217112666
0,0.7,30,0.3163265306122449,0.0009149999999635838,[[ 0.8695739 -1.1      ]],-1.5670127004687824
0,0.7,30,0.2653061224489796,0.0005850000000009459,[[ 1.05298908 -1.26292408]],-1.7606294770462279
0,0.7,30,0.3163265306122449,0.000578999999959251,[[ 0.7998994  -1.60045098]],0.6020290765628548
0,0.7,30,0.37755102040816324,0.0005600000000072214,[[ 3.87220697e-05 -4.93022734e-04]],1.001240523591283
0,0.7,30,0.30612244897959184,0.0007170000000087384,[[ 0.99148871 -1.1880271 ]],-1.7211688218233825
0,0.7,30,0.2857142857142857,0.0005970000000274922,[[ 1.05237853 -0.67653243]],-4.021697694744151
0,0.7,30,0.30612244897959184,0.0005819999999516767,[[ 0.83740472 -0.94208216]],-1.952319760441054
0,0.7,30,0.3163265306122449,0.0005790000000160944,[[ 0.72741776 -1.57610122]],0.8668542804266104
0,0.7,30,0.336734693877551,0.0008659999999736101,[[ 1.31142457 -0.49134301]],-5.820955743952412
0,0.7,30,0.30612244897959184,0.0006349999999883948,[[ 0.99985477 -1.09984525]],-1.8597086304599404
0,0.7,30,0.3163265306122449,0.0006050000000072941,[[ 1.20521723 -0.48208102]],-5.314860958865203
0,0.6,5,0.07142857142857142,0.0004889999999591055,[[ 1.17646828 -2.15820896]],0.08207887836129976
0,0.6,5,0.05102040816326531,0.0004969999999957508,[[ 1.46344389 -1.95114875]],-1.6833203824690104
0,0.6,5,0.04081632653061224,0.0004849999999692045,[[ 2.14426558 -1.7868813 ]],-5.967573987399518
0,0.6,5,0.061224489795918366,0.0006590000000414875,[[ 1.62834016 -2.09357331]],-2.3261329515506954
0,0.6,5,0.061224489795918366,0.000505999999973028,[[ 1.62764669 -2.09267911]],-2.3251837288822124
0,0.6,5,0.05102040816326531,0.0005980000000249674,[[ 2.02824357 -1.73940238]],-5.516939222236432
0,0.6,5,0.05102040816326531,0.0004979999999932261,[[ 1.8175662  -1.81892264]],-4.266831507022036
0,0.6,5,0.05102040816326531,0.0006799999999884676,[[ 1.96720853 -1.63934876]],-5.557339539208717
0,0.6,5,0.061224489795918366,0.0005269999999768515,[[ 1.53801495 -1.99941915]],-2.09160291824965
0,0.6,5,0.05102040816326531,0.0005229999999869506,[[ 2.04999237 -2.05000763]],-4.68993702390481
0,0.6,5,0.04081632653061224,0.0004930000000058499,[[ 1.66667549 -2.50191019]],-1.2440001756092167
0,0.6,5,0.061224489795918366,0.00046499999996285624,[[ 2.18797023 -1.56284066]],-7.032674314372138
0,0.6,5,0.05102040816326531,0.00046200000002727393,[[ 2.1539536  -1.84605053]],-5.8009164216256766
0,0.6,5,0.061224489795918366,0.0005170000000020991,[[ 1.49376625 -1.79115111]],-2.4994746851722436
