,Training,Noise,Training Error,Testing Error ,Time Count,Weight,Bias,Objective Function
0,80,0,0.0125,0.0,0.025445000000019036,[[ 3.20869663 -3.32158113]],-7.029023920184975,10.664317632136544
0,80,0,0.0125,0.0,0.00895500000001448,[[ 3.88434847 -3.88464408]],-8.748421780193302,15.089311315506404
0,80,0,0.0125,0.0,0.003980000000012751,[[ 5.87975977 -4.68934044]],-16.67527875702419,28.280744400092495
0,80,0,0.025,0.0,0.0028800000000046566,[[ 3.26616333 -3.59786738]],-6.368487939706768,11.806236293124652
0,80,0,0.0125,0.0,0.0020669999999824995,[[ 6.09547033 -5.0508743 ]],-16.757390013439707,31.333044856279383
0,80,0,0.0,0.0,0.00040799999999308056,[[15.54661826 -8.88481057]],-55.85408288580319,160.31859904755714
0,80,0,0.0,0.05,0.000568000000015445,[[ 6.31817479 -5.26514389]],-17.32233003763817,33.82053641242135
0,80,0,0.0125,0.0,0.0020629999999925985,[[ 6.09552294 -5.05091814]],-16.757643194456413,31.3335869619117
0,80,0,0.0125,0.0,0.009943999999990183,[[ 3.35308869 -3.13261076]],-8.449210913961235,10.528226996084694
0,80,0,0.0,0.1,0.000438000000002603,[[ 3.68438812 -4.21103851]],-6.788890613539709,15.653780567914296
0,80,0,0.025,0.0,0.006353000000018483,[[ 2.85675212 -3.37192997]],-4.944224827628931,9.76547219664041
0,80,0,0.0125,0.0,0.0010719999999935226,[[ 6.24736674 -4.99846898]],-17.616079243528485,32.00714164858024
0,80,0,0.0125,0.0,0.0014169999999751326,[[ 6.28712023 -5.23056364]],-17.257037178235027,33.44333837508205
0,80,0,0.0125,0.0,0.0022339999999871907,[[ 3.48495207 -3.12992078]],-8.711180437225831,10.970647496430757
0,80,0,0.0,0.05,0.0005329999999901247,[[ 5.0000286 -4.9994625]],-11.001856224989405,24.997455679973022
0,80,0,0.0125,0.05,0.0027269999999930405,[[ 2.88871318 -3.39473508]],-5.001745600893249,9.934445058283302
0,80,0,0.0,0.05,0.00041899999999372994,[[ 5.00227967 -5.00051699]],-11.010447636837041,25.01398600559974
0,80,0,0.0125,0.0,0.007417000000003782,[[ 5.01839499 -4.14327563]],-13.649238397013194,21.175510574965315
0,80,0,0.0,0.05,0.0004500000000007276,[[ 6.31507661 -5.26307246]],-17.31241118194829,33.79006219367763
0,80,0,0.0125,0.0,0.0029169999999965057,[[ 4.60858317 -3.82879112]],-12.939314620468634,17.94934013372416
0,80,5,0.075,0.0,0.023830000000003793,[[ 1.71886193 -2.21942242]],-2.5592402419411386,3.940161108920309
0,80,5,0.075,0.0,0.01310399999999845,[[ 2.24223878 -2.50396282]],-4.227830778362168,5.648732277890742
0,80,5,0.0125,0.2,0.004602000000005546,[[ 5.87975977 -4.68934044]],-16.67527875702419,28.280744400092495
0,80,5,0.0375,0.15,0.005209000000007791,[[ 2.70581329 -3.10461132]],-4.709413295291835,8.48001850633719
0,80,5,0.0625,0.0,0.020037999999999556,[[ 2.4951364 -2.4120754]],-5.964787973611018,6.021906687879961
0,80,5,0.0625,0.05,0.011198999999976422,[[ 2.02507635 -2.82305893]],-2.28931866121259,6.035297973009026
0,80,5,0.05,0.1,0.009501000000000204,[[ 2.72867935 -3.17438191]],-4.8255899758973895,8.76119575946781
0,80,5,0.05,0.1,0.010620999999986225,[[ 3.03497913 -3.30868185]],-5.954688356064318,10.079236960378648
0,80,5,0.05,0.05,0.017869000000018787,[[ 2.15930332 -2.43969342]],-4.22654963281253,5.307347400852652
0,80,5,0.05,0.05,0.013527000000010503,[[ 2.28644191 -2.46495081]],-4.625833034093236,5.651899532547966
0,80,5,0.05,0.1,0.04145800000000577,[[ 2.38145664 -2.50733698]],-4.882493235114706,5.979037223641779
0,80,5,0.05,0.05,0.00733700000000681,[[ 2.3393728  -1.67645691]],-7.38785962288113,4.141586453503352
0,80,5,0.0625,0.05,0.01764199999999505,[[ 2.39721928 -2.61448123]],-4.668308869374393,6.291086173459785
0,80,5,0.05,0.05,0.017077000000000453,[[ 2.38908115 -2.16903584]],-5.995467720068108,5.206212595731338
0,80,5,0.05,0.1,0.01797000000001958,[[ 1.84009689 -2.97438567]],-0.7678656554954603,6.1164633377923545
0,80,5,0.0625,0.05,0.03302899999999909,[[ 1.95209252 -2.99380842]],-1.4350966631756374,6.386777028749567
0,80,5,0.05,0.1,0.01836299999999369,[[ 1.87281474 -2.85672666]],-1.3325247556169186,5.834161129586568
0,80,5,0.05,0.05,0.011473000000023603,[[ 2.35329001 -2.41071992]],-5.119041893785209,5.674772207524384
0,80,5,0.05,0.05,0.015984000000003107,[[ 2.24413578 -2.31747047]],-4.810278770568946,5.203407399159596
0,80,5,0.0625,0.05,0.007998000000014827,[[ 2.03719605 -2.78339751]],-2.4468408980764114,5.948734726284329
0,80,10,0.125,0.0,0.04282999999998083,[[ 1.58670353 -1.8368861 ]],-2.9315716789179564,2.9458893257844165
0,80,10,0.1375,0.0,0.07817799999997987,[[ 1.58400786 -1.92400137]],-2.6493894024565474,3.105431099026604
0,80,10,0.0875,0.2,0.028713999999979478,[[ 2.51512443 -2.58857196]],-5.337607863126593,6.5132778545431576
0,80,10,0.075,0.15,0.019159000000001924,[[ 1.52981684 -2.62869808]],-0.1782981363523377,4.62519657674648
0,80,10,0.1125,0.05,0.019974999999988086,[[ 1.77769049 -1.90462283]],-3.794828182987643,3.393885796714392
0,80,10,0.1,0.1,0.05924899999999411,[[ 1.84697801 -2.01614287]],-3.872831714404629,3.738079917592793
0,80,10,0.1,0.15,0.009673999999989746,[[ 1.76411173 -2.55787742]],-1.7447034406379736,4.827413543916364
0,80,10,0.1,0.1,0.012325000000004138,[[ 2.21142363 -2.0511368 ]],-5.416061736559004,4.548778333483443
0,80,10,0.1125,0.1,0.025646999999992204,[[ 1.57269153 -2.05191672]],-2.1941559941148427,3.3418604321137777
0,80,10,0.1,0.1,0.01955499999999688,[[ 1.76780359 -1.85040844]],-3.9401093573205532,3.27457047108242
0,80,10,0.0875,0.15,0.013511000000022477,[[ 2.21056551 -1.55259042]],-6.895574229498607,3.648568441817
0,80,10,0.125,0.05,0.018457000000012158,[[ 1.54483867 -1.69266614]],-3.3345582649107244,2.625822579462934
0,80,10,0.1125,0.05,0.010967999999991207,[[ 2.12841196 -1.64411781]],-6.406307673658974,3.6166304106161222
0,80,10,0.1,0.1,0.02496400000001131,[[ 1.80106527 -1.60901496]],-4.794262992117853,2.916382634196273
0,80,10,0.1,0.1,0.016022000000020853,[[ 1.50025564 -1.68195774]],-3.046629684533816,2.539874408481914
0,80,10,0.1125,0.1,0.013587999999998601,[[ 1.8713598  -2.23768374]],-3.4024283184019053,4.25460800337741
0,80,10,0.1,0.15,0.04195100000001162,[[ 1.41421076 -1.91655426]],-1.6683774022737061,2.83658616282918
0,80,10,0.1,0.1,0.040552999999988515,[[ 2.08062004 -1.68755517]],-5.97073725443355,3.5884110981214414
0,80,10,0.1125,0.05,0.010362999999983913,[[ 1.70731983 -1.90492874]],-3.3804122554124283,3.271847266706688
0,80,10,0.1,0.1,0.03850699999998142,[[ 1.86638708 -1.96076046]],-4.100084712738369,3.663991148593969
0,80,15,0.1875,0.0,0.030147999999996955,[[ 1.49507957 -1.33959858]],-3.768315759961135,2.0148936344355564
0,80,15,0.1875,0.05,0.03083499999999617,[[ 1.50027297 -1.6697692 ]],-3.112944085617697,2.5194740817027252
0,80,15,0.1375,0.25,0.022245999999995547,[[ 1.8973756  -1.95796928]],-3.9886712514551568,3.7168389225969474
0,80,15,0.1375,0.2,0.030839000000014494,[[ 1.29768495 -2.26741617]],-0.1405435470448453,3.4125811611575525
0,80,15,0.1875,0.05,0.02800799999999981,[[ 1.25252811 -1.6499795 ]],-1.7788963421688624,2.1456295084809316
0,80,15,0.15,0.15,0.02189999999998804,[[ 1.59476343 -1.80335446]],-3.0662923720234603,2.897678847572095
0,80,15,0.1625,0.15,0.02079100000000267,[[ 1.3805582  -1.70020641]],-2.361426093286978,2.398321392293142
0,80,15,0.15,0.15,0.022362999999984368,[[ 1.94393152 -1.51819352]],-5.675527118880237,3.041890657133454
0,80,15,0.1625,0.15,0.09075599999999895,[[ 1.37474195 -1.7643168 ]],-1.876264976026218,2.5013645945639604
0,80,15,0.1625,0.15,0.04062999999999306,[[ 1.35321813 -1.65431994]],-2.4084512887481013,2.2839868770691254
0,80,15,0.1375,0.2,0.06673900000001254,[[ 2.10777101 -1.44829943]],-6.581871337945258,3.2701349337720482
0,80,15,0.1625,0.15,0.0236759999999947,[[ 1.62929671 -1.45806154]],-4.443176014464175,2.3902756102093963
0,80,15,0.175,0.1,0.026822000000009893,[[ 1.50605045 -1.83207336]],-2.3013046719615184,2.8123403725836864
0,80,15,0.15,0.15,0.0323449999999923,[[ 1.51519093 -1.62781104]],-3.1404240719358425,2.47278616240047
0,80,15,0.1625,0.25,0.029910999999998467,[[ 1.04465547 -2.29635024]],1.2092976035173404,3.1822647334661367
0,80,15,0.175,0.1,0.07628600000001029,[[ 1.34302472 -1.56640505]],-2.6297730503060928,2.1286700997376773
0,80,15,0.1375,0.25,0.047334000000006426,[[ 1.22654557 -1.85514369]],-0.8900789824131842,2.47298605922668
0,80,15,0.175,0.1,0.02738100000001964,[[ 1.7664868  -1.38188632]],-5.346176021351157,2.5150427058879155
