,Training,Noise,Training Error,Testing Error,Time Count
0,80,0,0.0,0.0,0.0008449999999982083
0,80,0,0.0,0.0,0.0007679999999936626
0,80,0,0.0,0.0,0.00046499999999127795
0,80,0,0.0,0.0,0.0005559999999888987
0,80,0,0.0,0.0,0.0004160000000013042
0,80,0,0.0,0.0,0.0008919999999932315
0,80,0,0.0,0.0,0.0004299999999943793
0,80,0,0.0,0.0,0.0004500000000007276
0,80,0,0.0,0.0,0.0005579999999838492
0,80,0,0.0,0.0,0.0005769999999927222
0,80,0,0.0,0.0,0.0005089999999938755
0,80,0,0.0,0.0,0.0004590000000064265
0,80,0,0.0,0.0,0.00041899999999372994
0,80,0,0.0,0.0,0.00042799999999942884
0,80,0,0.0,0.0,0.0004289999999969041
0,80,0,0.0,0.0,0.00043999999999755346
0,80,0,0.0,0.0,0.0008320000000026084
0,80,0,0.0,0.0,0.00043099999999185457
0,80,0,0.0,0.15000000000000002,0.0004520000000240998
0,80,0,0.0,0.0,0.0003670000000113305
0,80,0,0.0,0.0,0.0004069999999956053
0,80,0,0.0,0.0,0.00040100000001075387
0,80,0,0.0,0.0,0.00036800000000880573
0,80,0,0.0,0.0,0.00044700000000830187
0,80,0,0.0,0.0,0.0005679999999870233
0,80,0,0.0,0.0,0.0004460000000108266
0,80,0,0.0,0.0,0.0004319999999893298
0,80,0,0.0,0.0,0.0003829999999993561
0,80,0,0.0,0.0,0.000367999999980384
0,80,0,0.0,0.0,0.00043299999998680505
0,80,5,0.0625,0.0,0.0004480000000057771
0,80,5,0.025000000000000022,0.15000000000000002,0.0006800000000168893
0,80,5,0.0625,0.0,0.00041500000000382897
0,80,5,0.050000000000000044,0.050000000000000044,0.0005000000000165983
0,80,5,0.050000000000000044,0.050000000000000044,0.0006460000000174659
0,80,5,0.050000000000000044,0.050000000000000044,0.0007549999999980628
0,80,5,0.050000000000000044,0.050000000000000044,0.0004909999999824777
0,80,5,0.050000000000000044,0.050000000000000044,0.0004759999999919273
0,80,5,0.050000000000000044,0.050000000000000044,0.0005199999999945248
0,80,5,0.025000000000000022,0.15000000000000002,0.00043499999998175554
0,80,5,0.050000000000000044,0.050000000000000044,0.0006799999999884676
0,80,5,0.0625,0.0,0.0004550000000165255
0,80,5,0.0625,0.0,0.0006539999999972679
0,80,5,0.03749999999999998,0.09999999999999998,0.00046000000000390173
