,Training,Noise,Training Error,Testing Error,Time Count
0,80,0,0.0,0.0,0.00047600000004877074
0,80,0,0.0,0.0,0.0005850000000009459
0,80,0,0.0,0.0,0.0004610000000297987
0,80,0,0.0,0.0,0.0004410000000234504
0,80,0,0.0,0.0,0.0005480000000375185
0,80,0,0.0,0.0,0.0004209999999602587
0,80,0,0.0,0.0,0.0004920000000083746
0,80,0,0.0,0.0,0.000546000000042568
0,80,0,0.0,0.0,0.0004230000000120526
0,80,0,0.0,0.0,0.00034999999996898623
0,80,0,0.0,0.0,0.0004450000000133514
0,80,0,0.0,0.0,0.00038700000004610047
0,80,0,0.0,0.0,0.0004270000000019536
0,80,0,0.0,0.0,0.00042400000000952787
0,80,0,0.0,0.0,0.0005689999999844986
0,80,0,0.0,0.0,0.00038499999999430656
0,80,0,0.0,0.0,0.00037100000002965317
0,80,0,0.0,0.0,0.0005020000000399705
0,80,0,0.0,0.15000000000000002,0.0004870000000209984
0,80,0,0.0,0.0,0.0003929999999741085
0,80,0,0.0,0.0,0.0003419999999891843
0,80,0,0.0,0.0,0.00033899999999675856
0,80,0,0.0,0.0,0.0003070000000207074
0,80,0,0.0,0.0,0.000367999999980384
0,80,0,0.0,0.0,0.00037599999996018596
0,80,0,0.0,0.0,0.0003370000000018081
0,80,0,0.0,0.0,0.0003140000000030341
0,80,0,0.0,0.0,0.000348999999971511
0,80,0,0.0,0.0,0.0003930000000309519
0,80,0,0.0,0.0,0.0004900000000134241
0,80,5,0.0625,0.0,0.00047699999998940257
0,80,5,0.025000000000000022,0.15000000000000002,0.0003810000000044056
0,80,5,0.0625,0.0,0.0003859999999917818
0,80,5,0.050000000000000044,0.050000000000000044,0.00040500000000065484
0,80,5,0.050000000000000044,0.050000000000000044,0.0007459999999923639
0,80,5,0.050000000000000044,0.050000000000000044,0.0006239999999593238
0,80,5,0.050000000000000044,0.050000000000000044,0.0007080000000314612
0,80,5,0.050000000000000044,0.050000000000000044,0.00039599999996653423
0,80,5,0.050000000000000044,0.050000000000000044,0.00048099999997930354
0,80,5,0.025000000000000022,0.15000000000000002,0.0005959999999731735
0,80,5,0.050000000000000044,0.050000000000000044,0.00046300000002474917
0,80,5,0.0625,0.0,0.00046500000001969966
0,80,5,0.0625,0.0,0.00044699999995145845
0,80,5,0.03749999999999998,0.09999999999999998,0.00038499999999430656
0,80,5,0.050000000000000044,0.050000000000000044,0.00040100000001075387
0,80,5,0.0625,0.09999999999999998,0.00039400000002842717
0,80,5,0.050000000000000044,0.050000000000000044,0.00037099999997280975
0,80,5,0.0625,0.0,0.00040799999999308056
0,80,5,0.03749999999999998,0.25,0.0005779999999617758
0,80,5,0.050000000000000044,0.050000000000000044,0.0006079999999997199
0,80,5,0.050000000000000044,0.050000000000000044,0.0004480000000057771
0,80,5,0.050000000000000044,0.050000000000000044,0.00038699999998925705
0,80,5,0.0625,0.0,0.00038899999998420753
0,80,5,0.050000000000000044,0.050000000000000044,0.00038699999998925705
0,80,5,0.050000000000000044,0.050000000000000044,0.00037099999997280975
0,80,5,0.0625,0.0,0.00041199999998298154
0,80,5,0.050000000000000044,0.050000000000000044,0.00038700000004610047
0,80,5,0.03749999999999998,0.09999999999999998,0.00036399999999048305
0,80,5,0.0625,0.0,0.00036199999999553256
