,Training,Noise,Training Error,Testing Error,Time Count,Weight,Bias,Objective Function
0,60,10,0.19999999999999996,0.17500000000000004,0.000427000000058797,[[-1.1150159   0.54771255]],3.3525655043757285,-2.0357684003444882
0,60,15,0.21666666666666667,0.25,0.0004430000000184009,[[-0.98375605  0.46954383]],2.966157037489643,-2.0951314725295855
0,60,20,0.30000000000000004,0.22499999999999998,0.0004529999999931533,[[-0.79807324  0.40020731]],2.051631735560244,-1.9941495862744496
0,60,25,0.2833333333333333,0.30000000000000004,0.00045399999999062857,[[-0.58638581  0.37333896]],0.6084530786219023,-1.5706526005773103
0,60,30,0.2833333333333333,0.4,0.0004390000000284999,[[-0.52678071  0.29863662]],0.7025492092716976,-1.7639521584924007
0,50,0,0.07999999999999996,0.07999999999999996,0.00039100000003600144,[[-1.62782332  0.76555099]],4.797214265678559,-2.1263421210309743
0,50,5,0.16000000000000003,0.14,0.0004290000000537475,[[-1.02176899  0.61160866]],1.9908410468463271,-1.6706254372066982
0,50,10,0.19999999999999996,0.19999999999999996,0.00040100000001075387,[[-0.99027127  0.4639907 ]],3.061130247695239,-2.1342481148640755
0,50,15,0.19999999999999996,0.21999999999999997,0.00039800000001832814,[[-0.94850642  0.35307295]],3.7153132593094442,-2.686431889803409
0,50,20,0.30000000000000004,0.21999999999999997,0.0005319999999073843,[[-0.75960136  0.43064924]],1.4551297494318558,-1.763851625636531
0,50,25,0.26,0.28,0.00046299999996790575,[[-0.60709472  0.39628255]],0.49046009847103406,-1.5319743807968238
0,50,30,0.33999999999999997,0.36,0.0004200000000764703,[[-0.46790203  0.29079796]],0.272694681087162,-1.609027897095999
0,80,0,0.0,0.0,0.0004779999999300344,[[-0.24106865 -1.6448961 ]],11.391029213546068,0.14655554878191546
0,80,5,0.0625,0.0,0.0004410000000234504,[[ 0.34071515 -0.88211157]],5.316067564261901,-0.38624949331914726
0,80,10,0.09999999999999998,0.09999999999999998,0.0006210000000237414,[[ 0.08631013 -0.7541318 ]],4.717351503141507,-0.11444966850787193
0,80,15,0.15000000000000002,0.15000000000000002,0.0004979999999932261,[[ 0.06599526 -0.68448192]],4.312205069297488,-0.09641636957312019
0,80,20,0.21250000000000002,0.15000000000000002,0.0006680000000187647,[[-0.00074105 -0.61046149]],4.019105997821751,0.0012139114342783323
0,80,25,0.275,0.15000000000000002,0.0005490000000918371,[[-0.00078291 -0.54419774]],3.691521871935205,0.0014386544979076864
0,80,30,0.3125,0.25,0.0005380000000059226,[[ 0.01321884 -0.50938017]],3.4781087020691346,-0.02595083643655978
0,70,0,0.0,0.0,0.0003600000000005821,[[-0.24106865 -1.6448961 ]],11.39102921354604,0.14655554878190824
0,70,5,0.0714285714285714,0.0,0.0005189999999402062,[[ 0.34029324 -0.88154762]],5.313081134562918,-0.38601799124417163
0,70,10,0.11428571428571432,0.06666666666666665,0.00048599999990983633,[[ 0.08168873 -0.71265572]],4.402541937788501,-0.11462580293501425
0,70,15,0.17142857142857137,0.09999999999999998,0.0004779999999300344,[[ 0.11831593 -0.64713816]],3.9916594968227006,-0.18282946889065058
0,70,20,0.22857142857142854,0.1333333333333333,0.0004900000000134241,[[ 0.08143008 -0.61496626]],3.8910196082427757,-0.1324139005971442
0,70,25,0.2857142857142857,0.16666666666666663,0.0007699999999886131,[[-0.04234251 -0.54285483]],3.6207928706064365,0.07799968825842811
0,70,30,0.3142857142857143,0.2666666666666667,0.0005830000000059954,[[-0.03508308 -0.52756694]],3.533205779239109,0.0664997782313221
0,60,0,0.0,0.0,0.00036100000011174416,[[-0.24106865 -1.6448961 ]],11.391029213546055,0.14655554878190022
0,60,5,0.08333333333333337,0.0,0.00037799999995513645,[[ 0.34038379 -0.88178219]],5.314406205198037,-0.38601799389495506
0,60,10,0.1333333333333333,0.050000000000000044,0.0004999999999881766,[[ 0.08166403 -0.7126607 ]],4.402607273147029,-0.11459033938383104
0,60,15,0.19999999999999996,0.07499999999999996,0.00048600000002352317,[[ 0.1183287  -0.64713382]],3.9916154032431526,-0.18285043318244082
0,60,20,0.23333333333333328,0.15000000000000002,0.0004589999999780048,[[ 0.09392598 -0.61840072]],3.9013885826440844,-0.15188530131466965
0,60,25,0.30000000000000004,0.17500000000000004,0.00043999999991228833,[[-0.01598312 -0.57698467]],3.855150758378888,0.02770111164453226
0,60,30,0.31666666666666665,0.275,0.0005609999999478532,[[ 0.06607567 -0.50310689]],3.365785983011236,-0.13133525485882722
0,50,0,0.0,0.0,0.00037299999996776023,[[-0.23828543 -1.64511   ]],11.388101395605245,0.14484467644086513
0,50,5,0.09999999999999998,0.0,0.00039800000001832814,[[ 0.42334678 -0.81376672]],4.966538312123396,-0.5202311278169055
0,50,10,0.14,0.06000000000000005,0.00040999999998803105,[[ 0.10937402 -0.6509421 ]],4.049002552059045,-0.16802418846343475
0,50,15,0.21999999999999997,0.07999999999999996,0.00047900000004119647,[[ 0.09374348 -0.61999674]],3.909443531158587,-0.15119996213306636
0,50,20,0.26,0.14,0.00045999999997548,[[-0.0451778  -0.57366027]],3.8836161723632787,0.07875358223618235
0,50,25,0.31999999999999995,0.18000000000000005,0.0004340000000411237,[[ 0.08744794 -0.49668946]],3.319807293661549,-0.1760616016433097
0,50,30,0.31999999999999995,0.28,0.000417999999967833,[[ 0.08744794 -0.49668946]],3.319807293661549,-0.1760616016433097
0,80,0,0.0,0.0,0.00048800000001847366,[[-0.51325683  0.38991983]],-0.32057948828454114,-1.316313750172939
0,80,5,0.050000000000000044,0.050000000000000044,0.0004619999999704305,[[-0.42622209  0.19926137]],0.685577820387666,-2.139010180500665
0,80,10,0.08750000000000002,0.15000000000000002,0.0005820000000085201,[[-0.38124855  0.28894538]],-0.03050592068993237,-1.3194484853557933
0,80,15,0.13749999999999996,0.19999999999999996,0.0006060000000616128,[[-0.37915949  0.22906691]],0.3189520867040317,-1.6552346657412003
0,80,20,0.17500000000000004,0.30000000000000004,0.0005740000000287182,[[-0.35172122  0.19368157]],0.4321848797592287,-1.8159767306446002
0,80,25,0.22499999999999998,0.35,0.0006120000000464643,[[-0.33012813  0.19501252]],0.30953828810014766,-1.6928560586634203
0,80,30,0.275,0.4,0.0005859999999984211,[[-0.32148819  0.16831823]],0.4176157071577964,-1.91000219353828
