,Training,Noise,Training Error,Testing Error,Time Count,Objective Function,Number of SV,Features
0,80,0,0.0,0.0,0.0012500000000006395,2.1853913308807034,3,2
0,70,0,0.0,0.0,0.0008209999999992945,2.1778123836516423,2,2
0,60,0,0.0,0.0,0.0005799999999993588,2.177812355080402,2,2
0,50,0,0.0,0.0,0.0005430000000004043,2.1778123778886567,2,2
0,80,0,0.0,0.0,0.0005060000000005616,1.0682336267768897,2,2
0,70,0,0.0,0.0,0.000514999999999155,1.0682336276237732,2,2
0,60,0,0.0,0.0,0.0005329999999998947,1.0657395562976195,2,2
0,50,0,0.0,0.0,0.0005110000000003723,1.0657395562593537,2,2
0,80,0,0.0,0.0,0.0005549999999994171,1.142287143320393,2,2
0,70,0,0.0,0.0,0.0005879999999995889,1.1422871477345427,2,2
0,60,0,0.0,0.0,0.0005379999999997054,1.1422871449452594,2,2
0,50,0,0.0,0.0,0.0005379999999997054,1.1422871413010502,2,2
0,80,0,0.0,0.0,0.000536000000000314,1.277270749264396,2,2
0,70,0,0.0,0.0,0.0005569999999996966,1.2631355303206202,2,2
0,60,0,0.0,0.0,0.0006089999999998597,1.2631355105235749,2,2
0,50,0,0.0,0.0,0.0005370000000004538,1.2631355225417031,2,2
0,80,0,0.0,0.0,0.0005899999999998684,3.3198921784341304,3,2
0,70,0,0.0,0.0,0.0006379999999994723,3.319890754720602,3,2
0,60,0,0.0,0.0,0.0005199999999998539,2.314900750458138,2,2
0,50,0,0.0,0.0,0.0005150000000000432,2.290789772907414,2,2
0,80,0,0.0,0.019230769230769273,0.000568000000000346,379.78588924693975,3,2
0,70,0,0.0,0.012987012987012991,0.0006430000000001712,367.4982064728553,3,2
0,60,0,0.0,0.009708737864077666,0.00048600000000043053,367.56423026665743,3,2
0,50,0,0.0,0.0078125,0.0005420000000002645,360.6476927176551,3,2
0,80,0,0.0,0.0,0.0005910000000000082,1.3362177930129853,2,2
0,70,0,0.0,0.0,0.0005049999999995336,1.336217815066431,2,2
0,60,0,0.0,0.0,0.0005290000000002237,1.3362178095445711,2,2
0,50,0,0.0,0.0,0.0004350000000004073,1.3362179538727226,2,2
0,80,0,0.0,0.0,0.0009019999999999584,1.1980661283207565,2,2
0,70,0,0.0,0.0,0.0005540000000001655,1.1941287740595343,2,2
0,60,0,0.0,0.0,0.0006620000000001625,1.1941287746204314,2,2
0,50,0,0.0,0.0,0.0008620000000005845,1.1938845187418476,2,2
0,80,0,0.0,0.0,0.000980000000000203,1.1334903418708875,2,2
0,70,0,0.0,0.0,0.0005169999999994346,1.133490364062121,2,2
0,60,0,0.0,0.0,0.00047500000000066933,1.1312287649685944,2,2
0,50,0,0.0,0.0,0.0006529999999997926,1.1312288014314493,2,2
0,80,0,0.0,0.0,0.0009009999999998186,1.0624840926540966,2,2
0,70,0,0.0,0.0,0.0005709999999998772,1.0624840934841804,2,2
0,60,0,0.0,0.0,0.0006599999999998829,1.0624840923582295,2,2
0,50,0,0.0,0.0,0.0007270000000003662,1.0624840929963972,2,2
0,80,0,0.0,0.0,0.0005220000000001335,1.041393445476496,2,2
0,70,0,0.0,0.0,0.0005430000000004043,1.0413934456342602,2,2
0,60,0,0.0,0.0,0.0005389999999998452,1.0403791485310803,3,2
0,50,0,0.0,0.0,0.0005150000000000432,1.040376237264406,3,2
0,80,0,0.0,0.0,0.0006159999999999499,1.0394715037998972,2,2
0,70,0,0.0,0.0,0.0004990000000004713,1.0394715066117672,2,2
0,60,0,0.0,0.0,0.0005109999999994841,1.039471505269641,2,2
0,50,0,0.0,0.0,0.0005100000000002325,1.0394715053679313,2,2
0,80,0,0.0,0.0,0.0005359999999994258,1.507612190733623,2,2
0,70,0,0.0,0.0,0.0005550000000003052,1.5076121890772456,2,2
0,60,0,0.0,0.0,0.0003970000000004248,2.499119412479558,3,2
0,50,0,0.0,0.0,0.0006910000000006633,2.4991190216190136,3,2
0,80,0,0.0,0.0,0.0006089999999998597,1.0446505092248606,2,2
0,70,0,0.0,0.0,0.0006259999999995713,1.0446505089671503,2,2
0,60,0,0.0,0.0,0.0005700000000006256,1.0446505095737864,2,2
0,50,0,0.0,0.0,0.0006489999999992335,1.042239015276187,2,2
0,80,0,0.0,0.0,0.0005030000000001422,1.0318025415671317,2,2
0,70,0,0.0,0.0,0.00043099999999984817,1.031802542857474,2,2
0,60,0,0.0,0.0,0.000548000000000215,1.0317602054120374,2,2
0,50,0,0.0,0.0,0.0005959999999998189,1.031760206237142,2,2
0,80,0,0.0,0.0,0.0003799999999998249,1.0340433654090042,2,2
0,70,0,0.0,0.0,0.00037799999999954537,1.0340433647160443,2,2
0,60,0,0.0,0.0,0.0003479999999997929,1.033265241932665,2,2
0,50,0,0.0,0.0,0.0006280000000007391,1.0332652419825412,2,2
0,80,0,0.0,0.0,0.0007619999999999294,1.0694453784818427,2,2
0,70,0,0.0,0.0,0.0006130000000004188,1.0694453774871486,2,2
0,60,0,0.0,0.0,0.0005829999999997781,1.069445377637657,2,2
0,50,0,0.0,0.0,0.0006090000000007478,1.0694453769944394,2,2
0,80,0,0.0,0.0,0.0005949999999996791,1.1149542188201933,2,2
0,70,0,0.0,0.0,0.0005640000000006751,1.1149542181334893,2,2
0,60,0,0.0,0.0,0.000728000000000506,1.1149542177383718,2,2
0,50,0,0.0,0.0,0.000512000000000512,1.1149542184321253,2,2
0,80,0,0.0,0.0,0.0005519999999998859,1.1649998438046807,2,2
0,70,0,0.0,0.0,0.000524000000000413,1.1649998632757612,2,2
0,60,0,0.0,0.0,0.0005990000000002382,1.1596711193007454,2,2
0,50,0,0.0,0.0,0.0006289999999999907,1.1596710904004113,2,2
0,80,0,0.0,0.0,0.0005260000000006926,1.0604431308420283,2,2
0,70,0,0.0,0.0,0.0005649999999999267,1.0604431304038036,2,2
0,60,0,0.0,0.0,0.0005949999999996791,1.0591230515943664,2,2
0,50,0,0.0,0.0,0.0006770000000004828,1.058622488567221,2,2
0,80,0,0.0,0.0,0.0006279999999998509,1.273012608410106,2,2
0,70,0,0.0,0.0,0.0008780000000001564,1.2723683437553344,2,2
0,60,0,0.0,0.0,0.0005009999999998627,1.2723683343428474,2,2
0,50,0,0.0,0.0,0.0006820000000002935,1.2626787360391951,3,2
0,80,0,0.0,0.0,0.0006800000000000139,1.0432807207533725,2,2
0,70,0,0.0,0.0,0.0005699999999997374,1.0429727155903148,3,2
0,60,0,0.0,0.0,0.0008059999999998624,1.0431612683171023,2,2
0,50,0,0.0,0.0,0.0005639999999997869,1.0431612676000468,2,2
0,80,0,0.0,0.0,0.0005720000000000169,1.1394899854725713,2,2
0,70,0,0.0,0.0,0.0006770000000004828,1.1394899956357076,2,2
0,60,0,0.0,0.0,0.0007779999999995013,1.1392063996137742,2,2
0,50,0,0.0,0.0,0.0007109999999999062,1.139206398993557,2,2
0,80,0,0.0,0.0,0.0009100000000001884,1.0457953146144798,2,2
0,70,0,0.0,0.0,0.0008980000000002875,1.0457953150374515,2,2
0,60,0,0.0,0.0,0.0007570000000001187,1.0457953130239477,2,2
0,50,0,0.0,0.0,0.000738999999999379,1.0457954402768208,2,2
0,80,0,0.0,0.0,0.0006420000000000314,1.1045198775269391,2,2
0,70,0,0.0,0.0,0.0005690000000004858,1.1045198795739928,2,2
0,60,0,0.0,0.0,0.0005119999999996239,1.1045198837324275,2,2
0,50,0,0.0,0.0,0.0005220000000001335,1.1045198756132528,2,2
0,80,0,0.0,0.0,0.0010009999999995856,1.047533843474146,2,2
0,70,0,0.0,0.0,0.0004939999999997724,1.047533842141431,2,2
0,60,0,0.0,0.0,0.0006149999999998101,1.045933646271678,2,2
0,50,0,0.0,0.0,0.0008020000000001914,1.0459336431517203,2,2
0,80,0,0.0,0.0,0.0006779999999997344,1.0849969861776927,2,2
0,70,0,0.0,0.0,0.000580000000000247,1.084996986139335,2,2
0,60,0,0.0,0.0,0.000566999999999318,1.0829939987639772,2,2
0,50,0,0.0,0.0,0.0005519999999998859,1.0818675597905805,2,2
0,80,0,0.0,0.0,0.0007380000000001274,1.2943985011154486,3,2
0,70,0,0.0,0.0,0.0003489999999999327,1.2941591943857929,3,2
0,60,0,0.0,0.0,0.00033599999999989194,1.287445035413115,2,2
0,50,0,0.0,0.0,0.0006550000000000722,1.2842215353640947,2,2
0,80,0,0.0,0.0,0.0004029999999994871,1.0579172442996019,2,2
0,70,0,0.0,0.0,0.0007229999999998071,1.0579172428404557,2,2
0,60,0,0.0,0.0,0.0010180000000001854,1.0579172452527088,2,2
0,50,0,0.0,0.0,0.0007500000000000284,1.0579172480973749,2,2
