,Unnamed: 0,Training,Noise,Training Error,Testing Error,Time Count,Objective Function,Number of SV,Features
0,0,80,0,0.0,0.0,0.0012500000000006,2.185391330880704,3,2
1,0,70,0,0.0,0.0,0.0008209999999992,2.1778123836516423,2,2
2,0,60,0,0.0,0.0,0.0005799999999993,2.177812355080402,2,2
3,0,50,0,0.0,0.0,0.0005430000000004,2.1778123778886567,2,2
4,0,80,0,0.0,0.0,0.0005060000000005,1.0682336267768897,2,2
5,0,70,0,0.0,0.0,0.0005149999999991,1.0682336276237732,2,2
6,0,60,0,0.0,0.0,0.0005329999999998,1.0657395562976195,2,2
7,0,50,0,0.0,0.0,0.0005110000000003,1.0657395562593537,2,2
8,0,80,0,0.0,0.0,0.0005549999999994,1.142287143320393,2,2
9,0,70,0,0.0,0.0,0.0005879999999995,1.1422871477345429,2,2
10,0,60,0,0.0,0.0,0.0005379999999997,1.1422871449452594,2,2
11,0,50,0,0.0,0.0,0.0005379999999997,1.1422871413010502,2,2
12,0,80,0,0.0,0.0,0.0005360000000003,1.277270749264396,2,2
13,0,70,0,0.0,0.0,0.0005569999999996,1.2631355303206202,2,2
14,0,60,0,0.0,0.0,0.0006089999999998,1.2631355105235749,2,2
15,0,50,0,0.0,0.0,0.0005370000000004,1.2631355225417031,2,2
16,0,80,0,0.0,0.0,0.0005899999999998,3.3198921784341304,3,2
17,0,70,0,0.0,0.0,0.0006379999999994,3.319890754720602,3,2
18,0,60,0,0.0,0.0,0.0005199999999998,2.314900750458138,2,2
19,0,50,0,0.0,0.0,0.000515,2.290789772907414,2,2
20,0,80,0,0.0,0.0192307692307692,0.0005680000000003,379.78588924693975,3,2
21,0,70,0,0.0,0.0129870129870129,0.0006430000000001,367.4982064728553,3,2
22,0,60,0,0.0,0.0097087378640776,0.0004860000000004,367.56423026665743,3,2
23,0,50,0,0.0,0.0078125,0.0005420000000002,360.6476927176551,3,2
24,0,80,0,0.0,0.0,0.000591,1.3362177930129853,2,2
25,0,70,0,0.0,0.0,0.0005049999999995,1.336217815066431,2,2
26,0,60,0,0.0,0.0,0.0005290000000002,1.3362178095445711,2,2
27,0,50,0,0.0,0.0,0.0004350000000004,1.3362179538727226,2,2
28,0,80,0,0.0,0.0,0.0009019999999999,1.1980661283207563,2,2
29,0,70,0,0.0,0.0,0.0005540000000001,1.1941287740595343,2,2
30,0,60,0,0.0,0.0,0.0006620000000001,1.1941287746204314,2,2
31,0,50,0,0.0,0.0,0.0008620000000005,1.1938845187418476,2,2
32,0,80,0,0.0,0.0,0.0009800000000002,1.1334903418708877,2,2
33,0,70,0,0.0,0.0,0.0005169999999994,1.133490364062121,2,2
34,0,60,0,0.0,0.0,0.0004750000000006,1.1312287649685944,2,2
35,0,50,0,0.0,0.0,0.0006529999999997,1.131228801431449,2,2
36,0,80,0,0.0,0.0,0.0009009999999998,1.0624840926540966,2,2
37,0,70,0,0.0,0.0,0.0005709999999998,1.0624840934841804,2,2
38,0,60,0,0.0,0.0,0.0006599999999998,1.0624840923582295,2,2
39,0,50,0,0.0,0.0,0.0007270000000003,1.0624840929963972,2,2
40,0,80,0,0.0,0.0,0.0005220000000001,1.041393445476496,2,2
41,0,70,0,0.0,0.0,0.0005430000000004,1.0413934456342602,2,2
42,0,60,0,0.0,0.0,0.0005389999999998,1.0403791485310805,3,2
43,0,50,0,0.0,0.0,0.000515,1.040376237264406,3,2
44,0,80,0,0.0,0.0,0.0006159999999999,1.0394715037998972,2,2
45,0,70,0,0.0,0.0,0.0004990000000004,1.0394715066117672,2,2
46,0,60,0,0.0,0.0,0.0005109999999994,1.039471505269641,2,2
47,0,50,0,0.0,0.0,0.0005100000000002,1.039471505367931,2,2
48,0,80,0,0.0,0.0,0.0005359999999994,1.507612190733623,2,2
49,0,70,0,0.0,0.0,0.0005550000000003,1.5076121890772456,2,2
50,0,60,0,0.0,0.0,0.0003970000000004,2.499119412479558,3,2
51,0,50,0,0.0,0.0,0.0006910000000006,2.4991190216190136,3,2
52,0,80,0,0.0,0.0,0.0006089999999998,1.0446505092248606,2,2
53,0,70,0,0.0,0.0,0.0006259999999995,1.0446505089671505,2,2
54,0,60,0,0.0,0.0,0.0005700000000006,1.0446505095737864,2,2
55,0,50,0,0.0,0.0,0.0006489999999992,1.042239015276187,2,2
56,0,80,0,0.0,0.0,0.0005030000000001,1.0318025415671317,2,2
57,0,70,0,0.0,0.0,0.0004309999999998,1.031802542857474,2,2
58,0,60,0,0.0,0.0,0.0005480000000002,1.0317602054120374,2,2
59,0,50,0,0.0,0.0,0.0005959999999998,1.031760206237142,2,2
60,0,80,0,0.0,0.0,0.0003799999999998,1.0340433654090042,2,2
61,0,70,0,0.0,0.0,0.0003779999999995,1.0340433647160443,2,2
62,0,60,0,0.0,0.0,0.0003479999999997,1.033265241932665,2,2
63,0,50,0,0.0,0.0,0.0006280000000007,1.0332652419825412,2,2
64,0,80,0,0.0,0.0,0.0007619999999999,1.0694453784818427,2,2
65,0,70,0,0.0,0.0,0.0006130000000004,1.0694453774871486,2,2
66,0,60,0,0.0,0.0,0.0005829999999997,1.069445377637657,2,2
67,0,50,0,0.0,0.0,0.0006090000000007,1.0694453769944394,2,2
68,0,80,0,0.0,0.0,0.0005949999999996,1.1149542188201933,2,2
69,0,70,0,0.0,0.0,0.0005640000000006,1.1149542181334893,2,2
70,0,60,0,0.0,0.0,0.0007280000000005,1.1149542177383718,2,2
71,0,50,0,0.0,0.0,0.0005120000000005,1.1149542184321253,2,2
72,0,80,0,0.0,0.0,0.0005519999999998,1.1649998438046807,2,2
73,0,70,0,0.0,0.0,0.0005240000000004,1.1649998632757612,2,2
74,0,60,0,0.0,0.0,0.0005990000000002,1.1596711193007454,2,2
75,0,50,0,0.0,0.0,0.0006289999999999,1.1596710904004113,2,2
76,0,80,0,0.0,0.0,0.0005260000000006,1.0604431308420283,2,2
77,0,70,0,0.0,0.0,0.0005649999999999,1.0604431304038036,2,2
78,0,60,0,0.0,0.0,0.0005949999999996,1.0591230515943664,2,2
79,0,50,0,0.0,0.0,0.0006770000000004,1.058622488567221,2,2
80,0,80,0,0.0,0.0,0.0006279999999998,1.273012608410106,2,2
81,0,70,0,0.0,0.0,0.0008780000000001,1.2723683437553344,2,2
82,0,60,0,0.0,0.0,0.0005009999999998,1.2723683343428474,2,2
83,0,50,0,0.0,0.0,0.0006820000000002,1.2626787360391951,3,2
84,0,80,0,0.0,0.0,0.00068,1.0432807207533723,2,2
85,0,70,0,0.0,0.0,0.0005699999999997,1.0429727155903148,3,2
86,0,60,0,0.0,0.0,0.0008059999999998,1.0431612683171023,2,2
87,0,50,0,0.0,0.0,0.0005639999999997,1.0431612676000468,2,2
88,0,80,0,0.0,0.0,0.000572,1.1394899854725713,2,2
89,0,70,0,0.0,0.0,0.0006770000000004,1.1394899956357076,2,2
