,Training,Noise,Training Error,Testing Error,Time Count
0,80,0,0.012499999999999956,0.0,3
0,80,0,0.012499999999999956,0.0,3
0,80,0,0.0,0.050000000000000044,3
0,80,0,0.012499999999999956,0.0,3
0,80,0,0.012499999999999956,0.0,3
0,80,0,0.012499999999999956,0.0,3
0,80,0,0.012499999999999956,0.0,3
0,80,0,0.0,0.050000000000000044,3
0,80,0,0.012499999999999956,0.0,3
0,80,0,0.0,0.050000000000000044,3
0,80,0,0.0,0.050000000000000044,3
0,80,0,0.012499999999999956,0.0,3
0,80,0,0.012499999999999956,0.0,3
0,80,0,0.012499999999999956,0.0,3
0,80,0,0.012499999999999956,0.0,3
0,80,0,0.012499999999999956,0.0,3
0,80,0,0.012499999999999956,0.0,3
0,80,0,0.012499999999999956,0.0,3
0,80,0,0.012499999999999956,0.0,3
0,80,0,0.012499999999999956,0.0,3
0,80,0,0.0,0.050000000000000044,3
0,80,0,0.012499999999999956,0.0,3
0,80,0,0.012499999999999956,0.0,3
0,80,0,0.012499999999999956,0.0,3
0,80,0,0.012499999999999956,0.0,3
0,80,0,0.012499999999999956,0.0,3
0,80,0,0.012499999999999956,0.0,3
0,80,0,0.012499999999999956,0.0,3
0,80,0,0.012499999999999956,0.0,3
0,80,0,0.0,0.050000000000000044,3
0,80,5,0.03749999999999998,0.09999999999999998,3
0,80,5,0.050000000000000044,0.050000000000000044,3
0,80,5,0.03749999999999998,0.09999999999999998,3
0,80,5,0.0625,0.0,3
0,80,5,0.025000000000000022,0.15000000000000002,3
0,80,5,0.050000000000000044,0.050000000000000044,3
0,80,5,0.0625,0.0,3
0,80,5,0.03749999999999998,0.09999999999999998,3
0,80,5,0.050000000000000044,0.050000000000000044,3
0,80,5,0.050000000000000044,0.050000000000000044,3
0,80,5,0.050000000000000044,0.050000000000000044,3
0,80,5,0.03749999999999998,0.09999999999999998,3
0,80,5,0.0625,0.0,3
0,80,5,0.050000000000000044,0.050000000000000044,3
0,80,5,0.0625,0.0,3
0,80,5,0.050000000000000044,0.050000000000000044,3
0,80,5,0.050000000000000044,0.050000000000000044,3
0,80,5,0.03749999999999998,0.09999999999999998,3
0,80,5,0.03749999999999998,0.09999999999999998,3
0,80,5,0.050000000000000044,0.050000000000000044,3
0,80,5,0.03749999999999998,0.09999999999999998,3
0,80,5,0.050000000000000044,0.050000000000000044,3
0,80,5,0.03749999999999998,0.09999999999999998,3
0,80,5,0.0625,0.0,3
0,80,5,0.050000000000000044,0.050000000000000044,3
0,80,5,0.0625,0.0,3
0,80,5,0.0625,0.0,3
0,80,5,0.050000000000000044,0.050000000000000044,3
0,80,5,0.050000000000000044,0.050000000000000044,3
0,80,5,0.03749999999999998,0.09999999999999998,3
0,80,10,0.08750000000000002,0.15000000000000002,3
0,80,10,0.09999999999999998,0.09999999999999998,3
0,80,10,0.09999999999999998,0.09999999999999998,3
0,80,10,0.11250000000000004,0.050000000000000044,3
0,80,10,0.08750000000000002,0.15000000000000002,3
0,80,10,0.09999999999999998,0.09999999999999998,3
0,80,10,0.09999999999999998,0.09999999999999998,3
0,80,10,0.0625,0.25,3
0,80,10,0.09999999999999998,0.09999999999999998,3
0,80,10,0.08750000000000002,0.15000000000000002,3
0,80,10,0.11250000000000004,0.050000000000000044,3
0,80,10,0.08750000000000002,0.15000000000000002,3
0,80,10,0.08750000000000002,0.15000000000000002,3
0,80,10,0.09999999999999998,0.09999999999999998,3
0,80,10,0.125,0.0,3
0,80,10,0.09999999999999998,0.09999999999999998,3
0,80,10,0.11250000000000004,0.050000000000000044,3
0,80,10,0.08750000000000002,0.15000000000000002,3
0,80,10,0.08750000000000002,0.15000000000000002,3
0,80,10,0.07499999999999996,0.19999999999999996,3
0,80,10,0.07499999999999996,0.19999999999999996,3
0,80,10,0.0625,0.25,3
0,80,10,0.08750000000000002,0.15000000000000002,3
0,80,10,0.09999999999999998,0.09999999999999998,3
0,80,10,0.09999999999999998,0.09999999999999998,3
0,80,10,0.11250000000000004,0.050000000000000044,3
0,80,10,0.125,0.0,3
0,80,10,0.09999999999999998,0.09999999999999998,3
0,80,10,0.09999999999999998,0.09999999999999998,3
0,80,10,0.09999999999999998,0.09999999999999998,3
0,80,15,0.13749999999999996,0.19999999999999996,3
0,80,15,0.13749999999999996,0.19999999999999996,3
0,80,15,0.15000000000000002,0.15000000000000002,3
0,80,15,0.16249999999999998,0.09999999999999998,3
0,80,15,0.15000000000000002,0.15000000000000002,3
0,80,15,0.15000000000000002,0.15000000000000002,3
0,80,15,0.13749999999999996,0.19999999999999996,3
0,80,15,0.11250000000000004,0.30000000000000004,3
0,80,15,0.15000000000000002,0.15000000000000002,3
0,80,15,0.125,0.25,3
0,80,15,0.16249999999999998,0.09999999999999998,3
0,80,15,0.13749999999999996,0.19999999999999996,3
0,80,15,0.125,0.25,3
0,80,15,0.16249999999999998,0.09999999999999998,3
