,Training,Noise,Training Error,Testing Error,Time Count,Weight,Bias,Objective Function
0,80,0,0.0,0.0,0.0007319999999992888,[[ 2.22145062 -2.22233571]],-4.995372342645124,4.936809450220189
0,80,0,0.0,0.0,0.0004930000000058499,[[ 2.22225064 -2.22236967]],-4.999665356678359,4.938662424451944
0,80,0,0.0,0.0,0.0004590000000064265,[[ 2.22280956 -2.22229   ]],-5.002953222905529,4.9397276006755
0,80,0,0.0,0.0,0.0005730000000028213,[[ 2.22217521 -2.22224517]],-4.999667312574754,4.938218120432676
0,80,0,0.0,0.0,0.0004319999999893298,[[ 2.2218701  -2.22216165]],-4.998303149074222,4.93735456424387
0,80,0,0.0,0.05,0.0005710000000078708,[[ 2.25545007 -2.55445499]],-4.1328978856961704,5.806147657590272
0,80,0,0.0,0.0,0.00042199999998615567,[[ 2.22720466 -2.24959915]],-4.9417851974386195,5.01056846893035
0,80,0,0.0,0.0,0.0004040000000031796,[[ 2.22228525 -2.22172454]],-5.001856982020527,4.937305844699077
0,80,0,0.0,0.0,0.00044900000000325235,[[ 2.22169164 -2.22169141]],-4.9987296548896465,4.935913239919238
0,80,0,0.0,0.05,0.000390999999979158,[[ 2.2 -2.5]],-4.030006408691406,5.545
0,80,0,0.0125,0.0,0.0004819999999767788,[[ 2.22222257 -2.4       ]],-4.466670454679614,5.3491365676191895
0,80,0,0.0,0.0,0.0006190000000003693,[[ 2.22275466 -2.21795777]],-5.0156698427597375,4.929987477103348
0,80,0,0.0,0.0,0.0004080000000215023,[[ 2.22216268 -2.22186681]],-5.000883042525459,4.937349550041939
0,80,0,0.0,0.0,0.0006730000000061409,[[ 2.22218942 -2.22247999]],-4.999074700628066,4.93877157624819
0,80,0,0.0,0.0,0.00047699999998940257,[[ 2.25660518 -2.10188719]],-5.541520184455425,4.755098349807371
0,80,0,0.0,0.05,0.0006300000000010186,[[ 2.17538157 -2.5969227 ]],-3.651063608139336,5.738146222138411
